decile,user_days,metric_mean,future_interactions_mean,future_active_days_mean,future_play_hours_mean,same_day_satisfaction_mean,same_day_discovery_mean,metric
9,820,0.7265886369643982,345.390243902439,6.431707317073171,0.9202935772357723,0.7265886369643982,0.33158691650307875,satisfaction_depth_score
10,820,0.8261066170622194,267.0621951219512,5.9036585365853655,0.7734757056233063,0.8261066170622194,0.2960664865699197,satisfaction_depth_score
1,820,0.21280024066612532,66.82926829268293,4.095121951219512,0.15691465176151762,0.5779182763391998,0.08610056478596863,quality_adjusted_discovery_score
2,820,0.3183089072440726,195.6280487804878,5.941463414634146,0.4584471226287263,0.5884649023065729,0.18468784485716208,quality_adjusted_discovery_score
3,820,0.3732060657034101,305.89756097560974,6.71829268292683,0.7042591436314363,0.5602163399298158,0.25699561693256767,quality_adjusted_discovery_score
4,820,0.4057929108187698,348.74634146341464,6.832926829268293,0.8118384593495935,0.572936274230043,0.2945487813776218,quality_adjusted_discovery_score
5,820,0.43197564992054754,374.91219512195124,6.869512195121951,0.8862541446476964,0.5935767522828013,0.3201632276210125,quality_adjusted_discovery_score
6,819,0.45478262194654534,405.97069597069594,6.835164835164835,0.9727402896486229,0.6101514392734847,0.3438935384896374,quality_adjusted_discovery_score
7,820,0.4769634677521217,421.65365853658534,6.878048780487805,1.0038062266260162,0.6265320102954819,0.36874460156364564,quality_adjusted_discovery_score
8,820,0.5000814936647426,426.969512195122,6.864634146341463,1.042449200203252,0.6537534890733796,0.3875684312927063,quality_adjusted_discovery_score
9,820,0.5286624223050839,443.9634146341463,6.886585365853659,1.0941447486449865,0.6748298241095627,0.41861067113619516,quality_adjusted_discovery_score
10,820,0.5934540056509576,416.45365853658535,6.742682926829269,1.0587235484417346,0.7278664328547164,0.4916435656995106,quality_adjusted_discovery_score
1,820,0.3088073029118802,137.74878048780488,4.9487804878048784,0.30636893360433604,0.47928580082763544,0.13832880499612493,balanced_discovery_quality_score
2,820,0.38173702810069293,246.17439024390245,6.154878048780488,0.5460572750677507,0.5471298404998398,0.21634421570154602,balanced_discovery_quality_score
3,820,0.4134495199615357,293.02073170731705,6.413414634146341,0.6654894444444445,0.5685543905945575,0.2583446493285141,balanced_discovery_quality_score
4,820,0.4384913115778524,337.68536585365854,6.6865853658536585,0.7832892018970189,0.5865585778769487,0.2904240452787562,balanced_discovery_quality_score
5,820,0.4607341519875174,368.87560975609756,6.739024390243903,0.8711850782520326,0.6091856367882351,0.31228266718679965,balanced_discovery_quality_score
6,819,0.480457096881222,399.1709401709402,6.803418803418803,0.9481302496269163,0.6197717534761968,0.34114244028624713,balanced_discovery_quality_score
7,820,0.5001437773463667,395.2487804878049,6.8,0.9584263248644986,0.6468353489695599,0.35345220572317365,balanced_discovery_quality_score
8,820,0.5231676366167382,410.5048780487805,6.642682926829268,0.9991765643631436,0.673092573292528,0.3732426999409483,balanced_discovery_quality_score
9,820,0.5504352355835114,415.86951219512196,6.763414634146342,1.0561028370596206,0.7062653453965947,0.3946051257704282,balanced_discovery_quality_score
10,820,0.6121824198045669,402.7170731707317,6.712195121951219,1.0553216141598916,0.7495782050634532,0.47478663454568054,balanced_discovery_quality_score
1,820,0.14290240189092498,52.34634146341463,3.3109756097560976,0.12359222222222221,0.6077042603833628,0.10667072960818182,volume_weighted_quality_score
2,820,0.2936882484839291,154.16585365853658,6.089024390243902,0.36610742107046074,0.6008652720539401,0.18948783909184977,volume_weighted_quality_score
3,820,0.3979004060599477,281.05121951219513,6.8792682926829265,0.6682627056233061,0.5781028999356209,0.2657948055575326,volume_weighted_quality_score
4,820,0.45653200119113735,339.1829268292683,6.9,0.7984909969512195,0.5820188129806548,0.3069812013270976,volume_weighted_quality_score
5,820,0.4993425600145378,372.4609756097561,6.9036585365853655,0.8862081378726286,0.5978536790525419,0.33350996608252764,volume_weighted_quality_score
6,819,0.5357432879146659,401.22588522588524,6.902319902319903,0.9400099097815765,0.6038860613602746,0.3508006940909582,volume_weighted_quality_score
7,820,0.5698557289462675,423.23414634146343,6.923170731707317,1.0194969173441735,0.626163086692262,0.3669641984096124,volume_weighted_quality_score
8,820,0.6061333769869583,435.26341463414633,6.908536585365853,1.058015927506775,0.6391161547767329,0.389120563731874,volume_weighted_quality_score
9,820,0.6483611364113879,463.93536585365854,6.9158536585365855,1.1233294759485095,0.6604216060591833,0.40747579809288925,volume_weighted_quality_score
10,820,0.7271034702157974,484.1524390243902,6.931707317073171,1.2060239061653117,0.6901062666957126,0.4361594711239939,volume_weighted_quality_score
1,820,0.06541089412138067,137.51341463414633,4.220731707317073,0.4012701351626016,0.7537594597949863,0.21765394060084586,shallow_click_pressure_score
2,820,0.14144558538877314,258.22317073170734,6.109756097560975,0.6872003275745258,0.7011353190585995,0.2953345572890919,shallow_click_pressure_score
3,820,0.1783870809328532,308.8951219512195,6.479268292682927,0.8009640772357723,0.6709927012986097,0.3062474231713173,shallow_click_pressure_score
4,820,0.2042528052845185,345.51585365853657,6.728048780487805,0.8552461849593496,0.6523442973610767,0.3222590310158999,shallow_click_pressure_score
5,820,0.22671612949595765,347.559756097561,6.770731707317073,0.839073185298103,0.6260689665433108,0.3200517829855844,shallow_click_pressure_score
6,819,0.24701455428653624,381.4236874236874,6.825396825396825,0.9150828096594763,0.6093229484489974,0.3341364780043976,shallow_click_pressure_score
7,820,0.26805229478565196,393.0780487804878,6.86219512195122,0.9221416385501355,0.5907187410741809,0.338601991731341,shallow_click_pressure_score
8,820,0.29209742811492284,401.0378048780488,6.89390243902439,0.9257394776422764,0.5692216067009719,0.3363128093046241,shallow_click_pressure_score
9,820,0.32218832066644276,412.0048780487805,6.881707317073171,0.9375833960027101,0.536688117145325,0.3409749837668134,shallow_click_pressure_score
10,820,0.3868138771471411,421.7426829268293,6.892682926829268,0.9052059894986451,0.4759925729143358,0.3413719470318619,shallow_click_pressure_score
