run,source,edge_type,target,scenario,elapsed_seconds,coefficient,abs_coefficient
GES_BIC,support,---,renewal,linear_gaussian,0.013602480990812182,,
DirectLiNGAM,intent,-->,need,linear_gaussian,0.023972757044248283,-0.23308102834543046,0.23308102834543046
DirectLiNGAM,match,-->,need,linear_gaussian,0.023972757044248283,0.5847238781120603,0.5847238781120603
DirectLiNGAM,engagement,-->,intent,linear_gaussian,0.023972757044248283,0.3008281136973867,0.3008281136973867
DirectLiNGAM,intent,-->,match,linear_gaussian,0.023972757044248283,0.24746425900847832,0.24746425900847832
DirectLiNGAM,engagement,-->,match,linear_gaussian,0.023972757044248283,0.628804776480308,0.628804776480308
DirectLiNGAM,engagement,-->,support,linear_gaussian,0.023972757044248283,-0.3713427825565485,0.3713427825565485
DirectLiNGAM,renewal,-->,support,linear_gaussian,0.023972757044248283,-0.4200613110156983,0.4200613110156983
DirectLiNGAM,engagement,-->,renewal,linear_gaussian,0.023972757044248283,0.7877986270708177,0.7877986270708177
PC_FisherZ,need,-->,match,nonlinear_laplace,0.007694401894696057,,
PC_FisherZ,intent,-->,match,nonlinear_laplace,0.007694401894696057,,
PC_FisherZ,match,-->,engagement,nonlinear_laplace,0.007694401894696057,,
PC_FisherZ,engagement,-->,support,nonlinear_laplace,0.007694401894696057,,
PC_FisherZ,engagement,-->,renewal,nonlinear_laplace,0.007694401894696057,,
PC_FisherZ,support,---,renewal,nonlinear_laplace,0.007694401894696057,,
GES_BIC,need,-->,match,nonlinear_laplace,0.013189107994548976,,
GES_BIC,intent,-->,match,nonlinear_laplace,0.013189107994548976,,
GES_BIC,match,-->,engagement,nonlinear_laplace,0.013189107994548976,,
GES_BIC,engagement,-->,support,nonlinear_laplace,0.013189107994548976,,
GES_BIC,engagement,-->,renewal,nonlinear_laplace,0.013189107994548976,,
GES_BIC,support,---,renewal,nonlinear_laplace,0.013189107994548976,,
DirectLiNGAM,intent,-->,need,nonlinear_laplace,0.023991273948922753,-0.17008445297068067,0.17008445297068067
DirectLiNGAM,match,-->,need,nonlinear_laplace,0.023991273948922753,0.3276987214714756,0.3276987214714756
DirectLiNGAM,intent,-->,match,nonlinear_laplace,0.023991273948922753,0.5035162819271095,0.5035162819271095
DirectLiNGAM,match,-->,engagement,nonlinear_laplace,0.023991273948922753,0.3327679551697942,0.3327679551697942
DirectLiNGAM,engagement,-->,support,nonlinear_laplace,0.023991273948922753,-0.5393518345216813,0.5393518345216813
DirectLiNGAM,engagement,-->,renewal,nonlinear_laplace,0.023991273948922753,0.45791283603851973,0.45791283603851973
DirectLiNGAM,support,-->,renewal,nonlinear_laplace,0.023991273948922753,-0.4113737322739805,0.4113737322739805
PC_FisherZ,need,---,intent,hidden_confounding,0.013184700044803321,,
PC_FisherZ,need,---,match,hidden_confounding,0.013184700044803321,,
PC_FisherZ,need,-->,renewal,hidden_confounding,0.013184700044803321,,
PC_FisherZ,intent,---,match,hidden_confounding,0.013184700044803321,,
PC_FisherZ,intent,-->,renewal,hidden_confounding,0.013184700044803321,,
PC_FisherZ,match,---,engagement,hidden_confounding,0.013184700044803321,,
PC_FisherZ,engagement,-->,support,hidden_confounding,0.013184700044803321,,
PC_FisherZ,engagement,-->,renewal,hidden_confounding,0.013184700044803321,,
PC_FisherZ,renewal,-->,support,hidden_confounding,0.013184700044803321,,
GES_BIC,need,---,intent,hidden_confounding,0.023359082057140768,,
GES_BIC,need,---,match,hidden_confounding,0.023359082057140768,,
GES_BIC,need,-->,renewal,hidden_confounding,0.023359082057140768,,
GES_BIC,intent,---,match,hidden_confounding,0.023359082057140768,,
GES_BIC,intent,-->,support,hidden_confounding,0.023359082057140768,,
GES_BIC,intent,-->,renewal,hidden_confounding,0.023359082057140768,,
GES_BIC,match,---,engagement,hidden_confounding,0.023359082057140768,,
GES_BIC,engagement,-->,support,hidden_confounding,0.023359082057140768,,
GES_BIC,engagement,-->,renewal,hidden_confounding,0.023359082057140768,,
GES_BIC,renewal,-->,support,hidden_confounding,0.023359082057140768,,
DirectLiNGAM,renewal,-->,need,hidden_confounding,0.02354651701170951,0.6440508452533702,0.6440508452533702
DirectLiNGAM,need,-->,intent,hidden_confounding,0.02354651701170951,0.12839128835417052,0.12839128835417052
DirectLiNGAM,renewal,-->,intent,hidden_confounding,0.02354651701170951,0.5427803104162574,0.5427803104162574
DirectLiNGAM,need,-->,match,hidden_confounding,0.02354651701170951,0.3992720878799626,0.3992720878799626
DirectLiNGAM,intent,-->,match,hidden_confounding,0.02354651701170951,0.31089906448828547,0.31089906448828547
DirectLiNGAM,renewal,-->,match,hidden_confounding,0.02354651701170951,0.321510951316421,0.321510951316421
DirectLiNGAM,match,-->,engagement,hidden_confounding,0.02354651701170951,0.5201617334713617,0.5201617334713617
DirectLiNGAM,renewal,-->,engagement,hidden_confounding,0.02354651701170951,0.5611560973165505,0.5611560973165505
DirectLiNGAM,engagement,-->,support,hidden_confounding,0.02354651701170951,-0.2830387390011834,0.2830387390011834
DirectLiNGAM,renewal,-->,support,hidden_confounding,0.02354651701170951,-0.5306176320990311,0.5306176320990311
