run,source,edge_type,target,scenario,elapsed_seconds,coefficient,abs_coefficient,n_samples,seed
GES_BIC,engagement,-->,support,n_300_seed_0,0.012668987037613988,,,300,0
GES_BIC,engagement,-->,renewal,n_300_seed_0,0.012668987037613988,,,300,0
GES_BIC,support,---,renewal,n_300_seed_0,0.012668987037613988,,,300,0
DirectLiNGAM,need,-->,match,n_300_seed_0,0.02099536405876279,0.4250511789271622,0.4250511789271622,300,0
DirectLiNGAM,intent,-->,match,n_300_seed_0,0.02099536405876279,0.47194648146849344,0.47194648146849344,300,0
DirectLiNGAM,match,-->,engagement,n_300_seed_0,0.02099536405876279,0.6086695103238958,0.6086695103238958,300,0
DirectLiNGAM,engagement,-->,support,n_300_seed_0,0.02099536405876279,-0.6660369860096487,0.6660369860096487,300,0
DirectLiNGAM,engagement,-->,renewal,n_300_seed_0,0.02099536405876279,0.559530971595282,0.559530971595282,300,0
DirectLiNGAM,support,-->,renewal,n_300_seed_0,0.02099536405876279,-0.31760932802394026,0.31760932802394026,300,0
PC_FisherZ,need,-->,match,n_300_seed_1,0.008007816039025784,,,300,1
PC_FisherZ,intent,-->,match,n_300_seed_1,0.008007816039025784,,,300,1
PC_FisherZ,match,-->,engagement,n_300_seed_1,0.008007816039025784,,,300,1
PC_FisherZ,engagement,-->,support,n_300_seed_1,0.008007816039025784,,,300,1
PC_FisherZ,engagement,-->,renewal,n_300_seed_1,0.008007816039025784,,,300,1
PC_FisherZ,support,---,renewal,n_300_seed_1,0.008007816039025784,,,300,1
GES_BIC,need,-->,match,n_300_seed_1,0.012506990926340222,,,300,1
GES_BIC,intent,-->,match,n_300_seed_1,0.012506990926340222,,,300,1
GES_BIC,match,-->,engagement,n_300_seed_1,0.012506990926340222,,,300,1
GES_BIC,engagement,-->,support,n_300_seed_1,0.012506990926340222,,,300,1
GES_BIC,engagement,-->,renewal,n_300_seed_1,0.012506990926340222,,,300,1
GES_BIC,support,---,renewal,n_300_seed_1,0.012506990926340222,,,300,1
DirectLiNGAM,need,-->,match,n_300_seed_1,0.021022716886363924,0.48364212868150436,0.48364212868150436,300,1
DirectLiNGAM,intent,-->,match,n_300_seed_1,0.021022716886363924,0.4453097571031406,0.4453097571031406,300,1
DirectLiNGAM,match,-->,engagement,n_300_seed_1,0.021022716886363924,0.7364205024243015,0.7364205024243015,300,1
DirectLiNGAM,engagement,-->,support,n_300_seed_1,0.021022716886363924,-0.7327169686483664,0.7327169686483664,300,1
DirectLiNGAM,engagement,-->,renewal,n_300_seed_1,0.021022716886363924,0.5403091071277347,0.5403091071277347,300,1
DirectLiNGAM,support,-->,renewal,n_300_seed_1,0.021022716886363924,-0.37795581738235395,0.37795581738235395,300,1
PC_FisherZ,need,-->,match,n_300_seed_2,0.00786652707029134,,,300,2
PC_FisherZ,intent,-->,match,n_300_seed_2,0.00786652707029134,,,300,2
PC_FisherZ,match,-->,engagement,n_300_seed_2,0.00786652707029134,,,300,2
PC_FisherZ,engagement,-->,support,n_300_seed_2,0.00786652707029134,,,300,2
PC_FisherZ,engagement,-->,renewal,n_300_seed_2,0.00786652707029134,,,300,2
PC_FisherZ,support,---,renewal,n_300_seed_2,0.00786652707029134,,,300,2
GES_BIC,need,-->,match,n_300_seed_2,0.015986377955414355,,,300,2
GES_BIC,intent,-->,match,n_300_seed_2,0.015986377955414355,,,300,2
GES_BIC,match,-->,engagement,n_300_seed_2,0.015986377955414355,,,300,2
GES_BIC,engagement,-->,support,n_300_seed_2,0.015986377955414355,,,300,2
GES_BIC,engagement,-->,renewal,n_300_seed_2,0.015986377955414355,,,300,2
GES_BIC,support,---,renewal,n_300_seed_2,0.015986377955414355,,,300,2
DirectLiNGAM,need,-->,match,n_300_seed_2,0.02165834908373654,0.5244887175285171,0.5244887175285171,300,2
DirectLiNGAM,intent,-->,match,n_300_seed_2,0.02165834908373654,0.421057585972398,0.421057585972398,300,2
DirectLiNGAM,match,-->,engagement,n_300_seed_2,0.02165834908373654,0.677664047377034,0.677664047377034,300,2
DirectLiNGAM,engagement,-->,support,n_300_seed_2,0.02165834908373654,-0.678430037221323,0.678430037221323,300,2
DirectLiNGAM,engagement,-->,renewal,n_300_seed_2,0.02165834908373654,0.598130791067845,0.598130791067845,300,2
DirectLiNGAM,support,-->,renewal,n_300_seed_2,0.02165834908373654,-0.2607818532631118,0.2607818532631118,300,2
PC_FisherZ,need,-->,match,n_600_seed_0,0.00811125198379159,,,600,0
PC_FisherZ,intent,-->,match,n_600_seed_0,0.00811125198379159,,,600,0
PC_FisherZ,match,-->,engagement,n_600_seed_0,0.00811125198379159,,,600,0
PC_FisherZ,engagement,-->,support,n_600_seed_0,0.00811125198379159,,,600,0
PC_FisherZ,engagement,-->,renewal,n_600_seed_0,0.00811125198379159,,,600,0
PC_FisherZ,support,---,renewal,n_600_seed_0,0.00811125198379159,,,600,0
GES_BIC,need,-->,match,n_600_seed_0,0.013090781983919442,,,600,0
GES_BIC,intent,-->,match,n_600_seed_0,0.013090781983919442,,,600,0
GES_BIC,match,-->,engagement,n_600_seed_0,0.013090781983919442,,,600,0
GES_BIC,engagement,-->,support,n_600_seed_0,0.013090781983919442,,,600,0
GES_BIC,engagement,-->,renewal,n_600_seed_0,0.013090781983919442,,,600,0
GES_BIC,support,---,renewal,n_600_seed_0,0.013090781983919442,,,600,0
DirectLiNGAM,need,-->,match,n_600_seed_0,0.023109907982870936,0.4829771702280992,0.4829771702280992,600,0
DirectLiNGAM,intent,-->,match,n_600_seed_0,0.023109907982870936,0.49049131264649515,0.49049131264649515,600,0
DirectLiNGAM,match,-->,engagement,n_600_seed_0,0.023109907982870936,0.736383742485453,0.736383742485453,600,0
DirectLiNGAM,engagement,-->,support,n_600_seed_0,0.023109907982870936,-0.6562440901921299,0.6562440901921299,600,0
DirectLiNGAM,engagement,-->,renewal,n_600_seed_0,0.023109907982870936,0.5778371051462835,0.5778371051462835,600,0
DirectLiNGAM,support,-->,renewal,n_600_seed_0,0.023109907982870936,-0.3235329098744521,0.3235329098744521,600,0
PC_FisherZ,need,-->,match,n_600_seed_1,0.008028815034776926,,,600,1
PC_FisherZ,intent,-->,match,n_600_seed_1,0.008028815034776926,,,600,1
PC_FisherZ,match,-->,engagement,n_600_seed_1,0.008028815034776926,,,600,1
PC_FisherZ,engagement,-->,support,n_600_seed_1,0.008028815034776926,,,600,1
PC_FisherZ,engagement,-->,renewal,n_600_seed_1,0.008028815034776926,,,600,1
PC_FisherZ,support,---,renewal,n_600_seed_1,0.008028815034776926,,,600,1
GES_BIC,need,-->,match,n_600_seed_1,0.013359009055420756,,,600,1
GES_BIC,intent,-->,match,n_600_seed_1,0.013359009055420756,,,600,1
GES_BIC,match,-->,engagement,n_600_seed_1,0.013359009055420756,,,600,1
GES_BIC,engagement,-->,support,n_600_seed_1,0.013359009055420756,,,600,1
GES_BIC,engagement,-->,renewal,n_600_seed_1,0.013359009055420756,,,600,1
GES_BIC,support,---,renewal,n_600_seed_1,0.013359009055420756,,,600,1
DirectLiNGAM,need,-->,match,n_600_seed_1,0.024262869032099843,0.5249276454041333,0.5249276454041333,600,1
DirectLiNGAM,intent,-->,match,n_600_seed_1,0.024262869032099843,0.4595846497796814,0.4595846497796814,600,1
DirectLiNGAM,match,-->,engagement,n_600_seed_1,0.024262869032099843,0.6961271581892964,0.6961271581892964,600,1
DirectLiNGAM,engagement,-->,support,n_600_seed_1,0.024262869032099843,-0.6203298948832787,0.6203298948832787,600,1
DirectLiNGAM,engagement,-->,renewal,n_600_seed_1,0.024262869032099843,0.5434948368228991,0.5434948368228991,600,1
DirectLiNGAM,support,-->,renewal,n_600_seed_1,0.024262869032099843,-0.3287104781232435,0.3287104781232435,600,1
PC_FisherZ,need,-->,match,n_600_seed_2,0.008044686052016914,,,600,2
PC_FisherZ,intent,-->,match,n_600_seed_2,0.008044686052016914,,,600,2
PC_FisherZ,match,-->,engagement,n_600_seed_2,0.008044686052016914,,,600,2
PC_FisherZ,engagement,-->,support,n_600_seed_2,0.008044686052016914,,,600,2
PC_FisherZ,engagement,-->,renewal,n_600_seed_2,0.008044686052016914,,,600,2
PC_FisherZ,support,---,renewal,n_600_seed_2,0.008044686052016914,,,600,2
GES_BIC,need,-->,match,n_600_seed_2,0.012866165023297071,,,600,2
GES_BIC,intent,-->,match,n_600_seed_2,0.012866165023297071,,,600,2
GES_BIC,match,-->,engagement,n_600_seed_2,0.012866165023297071,,,600,2
GES_BIC,engagement,-->,support,n_600_seed_2,0.012866165023297071,,,600,2
GES_BIC,engagement,-->,renewal,n_600_seed_2,0.012866165023297071,,,600,2
GES_BIC,support,---,renewal,n_600_seed_2,0.012866165023297071,,,600,2
DirectLiNGAM,need,-->,match,n_600_seed_2,0.022449505981057882,0.5105212105314394,0.5105212105314394,600,2
DirectLiNGAM,intent,-->,match,n_600_seed_2,0.022449505981057882,0.45597658678587155,0.45597658678587155,600,2
DirectLiNGAM,match,-->,engagement,n_600_seed_2,0.022449505981057882,0.7618336914664166,0.7618336914664166,600,2
DirectLiNGAM,engagement,-->,support,n_600_seed_2,0.022449505981057882,-0.6791908276544304,0.6791908276544304,600,2
DirectLiNGAM,engagement,-->,renewal,n_600_seed_2,0.022449505981057882,0.5084516763407717,0.5084516763407717,600,2
DirectLiNGAM,support,-->,renewal,n_600_seed_2,0.022449505981057882,-0.3804507477543513,0.3804507477543513,600,2
PC_FisherZ,need,-->,match,n_1000_seed_0,0.007287282031029463,,,1000,0
PC_FisherZ,intent,-->,match,n_1000_seed_0,0.007287282031029463,,,1000,0
PC_FisherZ,match,-->,engagement,n_1000_seed_0,0.007287282031029463,,,1000,0
PC_FisherZ,engagement,-->,support,n_1000_seed_0,0.007287282031029463,,,1000,0
PC_FisherZ,engagement,-->,renewal,n_1000_seed_0,0.007287282031029463,,,1000,0
PC_FisherZ,support,---,renewal,n_1000_seed_0,0.007287282031029463,,,1000,0
GES_BIC,need,-->,match,n_1000_seed_0,0.012716718949377537,,,1000,0
GES_BIC,intent,-->,match,n_1000_seed_0,0.012716718949377537,,,1000,0
GES_BIC,match,-->,engagement,n_1000_seed_0,0.012716718949377537,,,1000,0
GES_BIC,engagement,-->,support,n_1000_seed_0,0.012716718949377537,,,1000,0
GES_BIC,engagement,-->,renewal,n_1000_seed_0,0.012716718949377537,,,1000,0
GES_BIC,support,---,renewal,n_1000_seed_0,0.012716718949377537,,,1000,0
DirectLiNGAM,need,-->,match,n_1000_seed_0,0.024668347090482712,0.5406658004110162,0.5406658004110162,1000,0
DirectLiNGAM,intent,-->,match,n_1000_seed_0,0.024668347090482712,0.42529201931149646,0.42529201931149646,1000,0
DirectLiNGAM,match,-->,engagement,n_1000_seed_0,0.024668347090482712,0.6989221414043284,0.6989221414043284,1000,0
DirectLiNGAM,engagement,-->,support,n_1000_seed_0,0.024668347090482712,-0.699631579640651,0.699631579640651,1000,0
DirectLiNGAM,engagement,-->,renewal,n_1000_seed_0,0.024668347090482712,0.49049890773599847,0.49049890773599847,1000,0
DirectLiNGAM,support,-->,renewal,n_1000_seed_0,0.024668347090482712,-0.38892724572647863,0.38892724572647863,1000,0
PC_FisherZ,need,-->,match,n_1000_seed_1,0.007843674044124782,,,1000,1
PC_FisherZ,intent,-->,match,n_1000_seed_1,0.007843674044124782,,,1000,1
PC_FisherZ,match,-->,engagement,n_1000_seed_1,0.007843674044124782,,,1000,1
PC_FisherZ,engagement,-->,support,n_1000_seed_1,0.007843674044124782,,,1000,1
PC_FisherZ,engagement,-->,renewal,n_1000_seed_1,0.007843674044124782,,,1000,1
PC_FisherZ,support,---,renewal,n_1000_seed_1,0.007843674044124782,,,1000,1
GES_BIC,need,-->,match,n_1000_seed_1,0.012895802035927773,,,1000,1
GES_BIC,intent,-->,match,n_1000_seed_1,0.012895802035927773,,,1000,1
GES_BIC,match,-->,engagement,n_1000_seed_1,0.012895802035927773,,,1000,1
GES_BIC,engagement,-->,support,n_1000_seed_1,0.012895802035927773,,,1000,1
GES_BIC,engagement,-->,renewal,n_1000_seed_1,0.012895802035927773,,,1000,1
GES_BIC,support,---,renewal,n_1000_seed_1,0.012895802035927773,,,1000,1
DirectLiNGAM,need,-->,match,n_1000_seed_1,0.025453548994846642,0.4981804728289949,0.4981804728289949,1000,1
DirectLiNGAM,intent,-->,match,n_1000_seed_1,0.025453548994846642,0.42583504730513494,0.42583504730513494,1000,1
DirectLiNGAM,match,-->,engagement,n_1000_seed_1,0.025453548994846642,0.7248858737739099,0.7248858737739099,1000,1
DirectLiNGAM,engagement,-->,support,n_1000_seed_1,0.025453548994846642,-0.6425303591851435,0.6425303591851435,1000,1
DirectLiNGAM,engagement,-->,renewal,n_1000_seed_1,0.025453548994846642,0.5464677192369576,0.5464677192369576,1000,1
DirectLiNGAM,support,-->,renewal,n_1000_seed_1,0.025453548994846642,-0.3492721808865868,0.3492721808865868,1000,1
PC_FisherZ,need,-->,match,n_1000_seed_2,0.007989338017068803,,,1000,2
PC_FisherZ,intent,-->,match,n_1000_seed_2,0.007989338017068803,,,1000,2
PC_FisherZ,match,-->,engagement,n_1000_seed_2,0.007989338017068803,,,1000,2
PC_FisherZ,engagement,-->,support,n_1000_seed_2,0.007989338017068803,,,1000,2
PC_FisherZ,engagement,-->,renewal,n_1000_seed_2,0.007989338017068803,,,1000,2
PC_FisherZ,support,---,renewal,n_1000_seed_2,0.007989338017068803,,,1000,2
GES_BIC,need,-->,match,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,need,-->,support,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,intent,-->,match,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,match,-->,engagement,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,engagement,-->,support,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,engagement,-->,renewal,n_1000_seed_2,0.014680547057650983,,,1000,2
GES_BIC,support,-->,renewal,n_1000_seed_2,0.014680547057650983,,,1000,2
DirectLiNGAM,need,-->,match,n_1000_seed_2,0.024268425069749355,0.50441881873716,0.50441881873716,1000,2
DirectLiNGAM,intent,-->,match,n_1000_seed_2,0.024268425069749355,0.40341104450700604,0.40341104450700604,1000,2
DirectLiNGAM,match,-->,engagement,n_1000_seed_2,0.024268425069749355,0.7181200012688729,0.7181200012688729,1000,2
DirectLiNGAM,engagement,-->,support,n_1000_seed_2,0.024268425069749355,-0.6645429868857778,0.6645429868857778,1000,2
DirectLiNGAM,engagement,-->,renewal,n_1000_seed_2,0.024268425069749355,0.5254331051555506,0.5254331051555506,1000,2
DirectLiNGAM,support,-->,renewal,n_1000_seed_2,0.024268425069749355,-0.36375386085935535,0.36375386085935535,1000,2
