run,message,alpha
structured_cdnod_alpha_0.05,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 852.85it/s] ",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 923.91it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 1024.20it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1055.57it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1204.62it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1188.14it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 34379.54it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 6898.53it/s] ",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 5820.03it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 3373.66it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 3517.53it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2190.43it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2510.70it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2342.07it/s]",0.05
structured_cdnod_alpha_0.05,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2284.48it/s]",0.05
structured_cdnod_alpha_0.1,"  0%|          | 0/7 [00:00<?, ?it/s]",0.1
structured_cdnod_alpha_0.1,"  0%|          | 0/7 [00:00<?, ?it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 38130.04it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 3043.76it/s] ",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2855.86it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2886.15it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2997.64it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 3157.17it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3421.53it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 3279.36it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 39568.91it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 1318.96it/s] ",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 1078.69it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 1145.59it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 1261.14it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1287.85it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1467.35it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1447.52it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 37117.73it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 7577.79it/s] ",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 6009.03it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 3499.63it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 3686.98it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2257.83it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2563.31it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2381.77it/s]",0.1
structured_cdnod_alpha_0.1,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2312.37it/s]",0.1
structured_cdnod_alpha_0.2,"  0%|          | 0/7 [00:00<?, ?it/s]",0.2
structured_cdnod_alpha_0.2,"  0%|          | 0/7 [00:00<?, ?it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 27776.85it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 2032.12it/s] ",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 2013.59it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2123.43it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2252.10it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 2363.21it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2563.76it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 6: 100%|##########| 7/7 [00:00<00:00, 2462.68it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=0, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 27413.75it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 947.12it/s]  ",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 765.15it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 818.40it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 886.22it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 915.52it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1044.66it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1030.14it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=1, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 27776.85it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 5252.73it/s] ",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 4438.42it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 2615.31it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 2740.66it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 1731.39it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1981.25it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 6: 100%|##########| 7/7 [00:00<00:00, 1861.65it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=2, working on node 6:   0%|          | 0/7 [00:00<?, ?it/s]          ",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 0:  14%|#4        | 1/7 [00:00<00:00, 27413.75it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 1:  29%|##8       | 2/7 [00:00<00:00, 18436.50it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 2:  43%|####2     | 3/7 [00:00<00:00, 17949.95it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 3:  57%|#####7    | 4/7 [00:00<00:00, 18001.30it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 4:  71%|#######1  | 5/7 [00:00<00:00, 18094.50it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 5:  86%|########5 | 6/7 [00:00<00:00, 8473.34it/s] ",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 6: 100%|##########| 7/7 [00:00<00:00, 9398.25it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 6: 100%|##########| 7/7 [00:00<00:00, 8696.72it/s]",0.2
structured_cdnod_alpha_0.2,"Depth=3, working on node 6: 100%|##########| 7/7 [00:00<00:00, 7950.21it/s]",0.2
