draw,analysis,true_net_value_per_user
24,Too-simple LinearDML,0.29812114043538307
24,Leaky CausalForestDML,0.017157200825002064
24,Post-treatment control,0.28373980071726085
24,Treat none,0.0
24,Treat all,0.21845305540655394
25,Clean DRLearner,0.28304334995834773
25,Too-simple LinearDML,0.29401984020937827
25,Leaky CausalForestDML,0.014582602341050441
25,Post-treatment control,0.28210009479387493
25,Treat none,0.0
25,Treat all,0.2204422716631969
26,Clean DRLearner,0.2947662610906753
26,Too-simple LinearDML,0.30835531712285624
26,Leaky CausalForestDML,0.025859322220149795
26,Post-treatment control,0.29710177626474965
26,Treat none,0.0
26,Treat all,0.2337146468457615
27,Clean DRLearner,0.28389709706146704
27,Too-simple LinearDML,0.2937163879377762
27,Leaky CausalForestDML,0.01806200605909977
27,Post-treatment control,0.28246957589008226
27,Treat none,0.0
27,Treat all,0.2153686709971513
28,Clean DRLearner,0.28129788641135295
28,Too-simple LinearDML,0.2937128719749261
28,Leaky CausalForestDML,0.02396894358828883
28,Post-treatment control,0.28299297071685564
28,Treat none,0.0
28,Treat all,0.21905857155829617
29,Clean DRLearner,0.291928193154368
29,Too-simple LinearDML,0.2992917990758199
29,Leaky CausalForestDML,0.016450766185642524
29,Post-treatment control,0.2899364630210484
29,Treat none,0.0
29,Treat all,0.2229942463649346
30,Clean DRLearner,0.2696279394248056
30,Too-simple LinearDML,0.28017143424511826
30,Leaky CausalForestDML,0.017899875545136425
30,Post-treatment control,0.27135347793897363
30,Treat none,0.0
30,Treat all,0.20265248767288138
31,Clean DRLearner,0.2849180361070285
31,Too-simple LinearDML,0.29590287142655397
31,Leaky CausalForestDML,0.013571259910075366
31,Post-treatment control,0.28565049040380647
31,Treat none,0.0
31,Treat all,0.2190050037116966
32,Clean DRLearner,0.2779859399630322
32,Too-simple LinearDML,0.2882708764119129
32,Leaky CausalForestDML,0.014615379360493279
32,Post-treatment control,0.2777186996233402
32,Treat none,0.0
32,Treat all,0.20664203052469574
33,Clean DRLearner,0.27158883244990667
33,Too-simple LinearDML,0.2800901794798913
33,Leaky CausalForestDML,0.01482801220996415
33,Post-treatment control,0.26882761095919605
33,Treat none,0.0
33,Treat all,0.20720997890517615
34,Clean DRLearner,0.2761372037651346
34,Too-simple LinearDML,0.2834089292520707
34,Leaky CausalForestDML,0.01353899753304938
34,Post-treatment control,0.2728423134928891
34,Treat none,0.0
34,Treat all,0.21366803083470062
35,Clean DRLearner,0.27646372732171376
35,Too-simple LinearDML,0.2863074480860465
35,Leaky CausalForestDML,0.01898861893499713
35,Post-treatment control,0.27567221688562293
35,Treat none,0.0
35,Treat all,0.20497641688882223
36,Clean DRLearner,0.2851347175619986
36,Too-simple LinearDML,0.2935149035788682
36,Leaky CausalForestDML,0.020527170739710252
36,Post-treatment control,0.28383865566541844
36,Treat none,0.0
36,Treat all,0.21761565803803568
37,Clean DRLearner,0.28179703821931884
37,Too-simple LinearDML,0.2910201088957975
37,Leaky CausalForestDML,0.020925419963857345
37,Post-treatment control,0.28585561704411955
37,Treat none,0.0
37,Treat all,0.21285723590431593
38,Clean DRLearner,0.28725116325762895
38,Too-simple LinearDML,0.29827086656775437
38,Leaky CausalForestDML,0.01723648679780377
38,Post-treatment control,0.28617870691985314
38,Treat none,0.0
38,Treat all,0.22354329705241444
39,Clean DRLearner,0.2892416564413158
39,Too-simple LinearDML,0.2987548273699342
39,Leaky CausalForestDML,0.022078066684345903
39,Post-treatment control,0.2887349016645235
39,Treat none,0.0
39,Treat all,0.21602382972269707
40,Clean DRLearner,0.2768904955164391
40,Too-simple LinearDML,0.2876980781597454
40,Leaky CausalForestDML,0.020451874506368237
40,Post-treatment control,0.2756894295313789
40,Treat none,0.0
40,Treat all,0.20368937944815024
41,Clean DRLearner,0.2897551015284016
41,Too-simple LinearDML,0.3025259251613435
41,Leaky CausalForestDML,0.01986774275685047
41,Post-treatment control,0.2907651715670941
41,Treat none,0.0
41,Treat all,0.2289739091357305
42,Clean DRLearner,0.26927196460962005
42,Too-simple LinearDML,0.2757489740322591
42,Leaky CausalForestDML,0.019748369094736692
42,Post-treatment control,0.2642837758346251
42,Treat none,0.0
42,Treat all,0.1955167935410275
43,Clean DRLearner,0.27006631857673336
43,Too-simple LinearDML,0.28212926733246635
43,Leaky CausalForestDML,0.020932691145903695
43,Post-treatment control,0.2722726266920247
43,Treat none,0.0
43,Treat all,0.19789649006750226
44,Clean DRLearner,0.27821013825683544
44,Too-simple LinearDML,0.28775694615705605
44,Leaky CausalForestDML,0.014585614586749928
44,Post-treatment control,0.2730942468542848
44,Treat none,0.0
44,Treat all,0.20480467379197756
45,Clean DRLearner,0.2679559715117443
45,Too-simple LinearDML,0.2778412615496426
45,Leaky CausalForestDML,0.01808634365927951
45,Post-treatment control,0.26729748942620607
45,Treat none,0.0
45,Treat all,0.20236654814053737
46,Clean DRLearner,0.28355947804871595
46,Too-simple LinearDML,0.2897360566718155
46,Leaky CausalForestDML,0.021501077832237814
46,Post-treatment control,0.28350923936805505
46,Treat none,0.0
46,Treat all,0.21201970135158443
47,Clean DRLearner,0.29348847628174407
47,Too-simple LinearDML,0.3018319815213983
47,Leaky CausalForestDML,0.014954378521240229
47,Post-treatment control,0.29235187646133576
47,Treat none,0.0
47,Treat all,0.2216192934468038
48,Clean DRLearner,0.2837762008460752
48,Too-simple LinearDML,0.2943489436206806
48,Leaky CausalForestDML,0.01501799366458004
48,Post-treatment control,0.28121062579296396
48,Treat none,0.0
48,Treat all,0.21250125111550966
49,Clean DRLearner,0.2859394172655935
49,Too-simple LinearDML,0.2952046410150094
49,Leaky CausalForestDML,0.019607210429590266
49,Post-treatment control,0.28486776548778486
49,Treat none,0.0
49,Treat all,0.21985822146616518
50,Clean DRLearner,0.2922843448414851
50,Too-simple LinearDML,0.30132681542998824
50,Leaky CausalForestDML,0.017247706823671587
50,Post-treatment control,0.2900966481288018
50,Treat none,0.0
50,Treat all,0.21584655780645653
51,Clean DRLearner,0.297538061105298
51,Too-simple LinearDML,0.3075080182914551
51,Leaky CausalForestDML,0.026638459732970122
51,Post-treatment control,0.29654598771395924
51,Treat none,0.0
51,Treat all,0.2329872371351777
52,Clean DRLearner,0.28896581566236473
52,Too-simple LinearDML,0.29734748842803876
52,Leaky CausalForestDML,0.025143251108421128
52,Post-treatment control,0.2869549971807748
52,Treat none,0.0
52,Treat all,0.22044279198017402
53,Clean DRLearner,0.2867678619939938
53,Too-simple LinearDML,0.29625619939114506
53,Leaky CausalForestDML,0.018668562398738937
53,Post-treatment control,0.2867276254090036
53,Treat none,0.0
53,Treat all,0.21376149144066534
54,Clean DRLearner,0.27992714845072775
54,Too-simple LinearDML,0.2933561455570538
54,Leaky CausalForestDML,0.024192681923776063
54,Post-treatment control,0.2875434607981862
54,Treat none,0.0
54,Treat all,0.2123039617699559
55,Clean DRLearner,0.2802519697421276
55,Too-simple LinearDML,0.29488447012656255
55,Leaky CausalForestDML,0.020505681864632464
55,Post-treatment control,0.28785459509132993
55,Treat none,0.0
55,Treat all,0.21958476613537514
56,Clean DRLearner,0.2818073345804298
56,Too-simple LinearDML,0.2915276610489464
56,Leaky CausalForestDML,0.023328996019817923
56,Post-treatment control,0.28014062713571414
56,Treat none,0.0
56,Treat all,0.2145598106181058
57,Clean DRLearner,0.27745794192510237
57,Too-simple LinearDML,0.2854169988685537
57,Leaky CausalForestDML,0.021064329928604873
57,Post-treatment control,0.2779415091395116
57,Treat none,0.0
57,Treat all,0.2054191169051804
58,Clean DRLearner,0.2815515992387192
58,Too-simple LinearDML,0.28967442546735794
58,Leaky CausalForestDML,0.017197389534088864
58,Post-treatment control,0.2787519584572674
58,Treat none,0.0
58,Treat all,0.20678243381904782
59,Clean DRLearner,0.2886092928468559
59,Too-simple LinearDML,0.2986609109461276
59,Leaky CausalForestDML,0.02749980566136385
59,Post-treatment control,0.2869780228743452
59,Treat none,0.0
59,Treat all,0.21551819486648807
60,Clean DRLearner,0.28036071795168616
60,Too-simple LinearDML,0.2910539301085107
60,Leaky CausalForestDML,0.017631274387852044
60,Post-treatment control,0.28231492811279457
60,Treat none,0.0
60,Treat all,0.20530276658065733
61,Clean DRLearner,0.27177766412760096
61,Too-simple LinearDML,0.2808253929177819
61,Leaky CausalForestDML,0.016237450956112717
61,Post-treatment control,0.2707351972412846
61,Treat none,0.0
61,Treat all,0.2030038863277319
62,Clean DRLearner,0.27183395195397536
62,Too-simple LinearDML,0.2862054584760684
62,Leaky CausalForestDML,0.020796603011013003
62,Post-treatment control,0.2706367102782085
62,Treat none,0.0
62,Treat all,0.20932000028031447
63,Clean DRLearner,0.26850955467844106
63,Too-simple LinearDML,0.27933432967433786
63,Leaky CausalForestDML,0.015002568078520141
63,Post-treatment control,0.2684553704599723
63,Treat none,0.0
63,Treat all,0.20112711112188625
64,Clean DRLearner,0.2803224332857915
64,Too-simple LinearDML,0.2866778267611422
64,Leaky CausalForestDML,0.023804652785458624
64,Post-treatment control,0.27841702577769006
64,Treat none,0.0
64,Treat all,0.2156613553744496
65,Clean DRLearner,0.29633099102252497
65,Too-simple LinearDML,0.30557094113648176
65,Leaky CausalForestDML,0.021256078309269125
65,Post-treatment control,0.29278812841931495
65,Treat none,0.0
65,Treat all,0.2275549497298064
66,Clean DRLearner,0.28867161955650844
66,Too-simple LinearDML,0.2976843273015198
66,Leaky CausalForestDML,0.018626379418104782
66,Post-treatment control,0.2854198588480988
66,Treat none,0.0
66,Treat all,0.21906003749296235
67,Clean DRLearner,0.2745205056512302
67,Too-simple LinearDML,0.284760460932678
67,Leaky CausalForestDML,0.01157869003716612
67,Post-treatment control,0.27572424623183556
67,Treat none,0.0
67,Treat all,0.20698674408260437
68,Clean DRLearner,0.2752698138480636
68,Too-simple LinearDML,0.2855637620294155
68,Leaky CausalForestDML,0.018088026329725605
68,Post-treatment control,0.27579501333793494
68,Treat none,0.0
68,Treat all,0.2031380952728749
69,Clean DRLearner,0.2683014188190913
69,Too-simple LinearDML,0.2747883947369347
69,Leaky CausalForestDML,0.014055481940939902
69,Post-treatment control,0.26483037847149665
69,Treat none,0.0
69,Treat all,0.18878363990823502
70,Clean DRLearner,0.2895900707565266
70,Too-simple LinearDML,0.3014730312717293
70,Leaky CausalForestDML,0.026228272371924554
70,Post-treatment control,0.28839928728854386
70,Treat none,0.0
70,Treat all,0.22494790872903794
71,Clean DRLearner,0.2832397232961191
71,Too-simple LinearDML,0.2949579627048943
71,Leaky CausalForestDML,0.014030767519867551
71,Post-treatment control,0.2851941073030606
71,Treat none,0.0
71,Treat all,0.21879625250668355
72,Clean DRLearner,0.2790641685553393
72,Too-simple LinearDML,0.28740625580452706
72,Leaky CausalForestDML,0.02159339369925556
72,Post-treatment control,0.27712846127353896
72,Treat none,0.0
72,Treat all,0.2085831681612402
73,Clean DRLearner,0.2793306368233848
73,Too-simple LinearDML,0.2893618951426531
73,Leaky CausalForestDML,0.019495240352309866
73,Post-treatment control,0.2801295058035393
73,Treat none,0.0
73,Treat all,0.207452105775385
74,Clean DRLearner,0.2891365018670435
74,Too-simple LinearDML,0.2989355466233874
74,Leaky CausalForestDML,0.026040418621089564
74,Post-treatment control,0.2839419983251078
74,Treat none,0.0
74,Treat all,0.22492608689048682
75,Clean DRLearner,0.29551077023494177
75,Too-simple LinearDML,0.3042580627090121
75,Leaky CausalForestDML,0.025043311170405713
75,Post-treatment control,0.2948900807817079
75,Treat none,0.0
75,Treat all,0.23579489500905135
76,Clean DRLearner,0.28033271132368
76,Too-simple LinearDML,0.29065333053045084
76,Leaky CausalForestDML,0.024699014696932774
76,Post-treatment control,0.2786547896504913
76,Treat none,0.0
76,Treat all,0.2101104334892553
77,Clean DRLearner,0.28167831775814506
77,Too-simple LinearDML,0.2943410142705106
77,Leaky CausalForestDML,0.021527641223159134
77,Post-treatment control,0.2826830074723055
77,Treat none,0.0
77,Treat all,0.20534280694051513
78,Clean DRLearner,0.28326911627633444
78,Too-simple LinearDML,0.29250334781391796
78,Leaky CausalForestDML,0.02510708860027301
78,Post-treatment control,0.28242715427745607
78,Treat none,0.0
78,Treat all,0.21730293105492776
79,Clean DRLearner,0.2847819565908747
79,Too-simple LinearDML,0.29743713066843075
79,Leaky CausalForestDML,0.019062637935616897
79,Post-treatment control,0.2830526094382155
79,Treat none,0.0
79,Treat all,0.2191113209871465
80,Clean DRLearner,0.27702822406512007
80,Too-simple LinearDML,0.28311296306099487
80,Leaky CausalForestDML,0.012289075319134014
80,Post-treatment control,0.2746885204814864
80,Treat none,0.0
80,Treat all,0.20916888409875625
81,Clean DRLearner,0.2883614509331593
81,Too-simple LinearDML,0.3002242953487352
81,Leaky CausalForestDML,0.02522537631465248
81,Post-treatment control,0.28776116400769575
81,Treat none,0.0
81,Treat all,0.2203424113821883
82,Clean DRLearner,0.28703546861632107
82,Too-simple LinearDML,0.29814819841672596
82,Leaky CausalForestDML,0.01826873906602724
82,Post-treatment control,0.2888977908112594
82,Treat none,0.0
82,Treat all,0.22058898699446436
83,Clean DRLearner,0.29575255789748744
83,Too-simple LinearDML,0.304283599145398
83,Leaky CausalForestDML,0.021257248955454614
83,Post-treatment control,0.29559081133502113
83,Treat none,0.0
83,Treat all,0.22393535000036383
84,Clean DRLearner,0.28689605309266997
84,Too-simple LinearDML,0.29610094685664184
84,Leaky CausalForestDML,0.022082855852324085
84,Post-treatment control,0.284701754777746
84,Treat none,0.0
84,Treat all,0.2233505490497375
85,Clean DRLearner,0.263488107556846
85,Too-simple LinearDML,0.2738787257216745
85,Leaky CausalForestDML,0.02379721648330894
85,Post-treatment control,0.2652766181909892
85,Treat none,0.0
85,Treat all,0.19852942283913272
86,Clean DRLearner,0.293033788413262
86,Too-simple LinearDML,0.30600596032508903
86,Leaky CausalForestDML,0.023540652293838286
86,Post-treatment control,0.2928116208538263
86,Treat none,0.0
86,Treat all,0.23109819329624237
87,Clean DRLearner,0.2862062113039228
87,Too-simple LinearDML,0.2954170051417634
87,Leaky CausalForestDML,0.017623925677304586
87,Post-treatment control,0.28099366074003607
87,Treat none,0.0
87,Treat all,0.21071990974523752
88,Clean DRLearner,0.28279603453718316
88,Too-simple LinearDML,0.2926211648723483
88,Leaky CausalForestDML,0.019578310735598795
88,Post-treatment control,0.27947763979463247
88,Treat none,0.0
88,Treat all,0.2117988691480817
89,Clean DRLearner,0.28394569468557174
89,Too-simple LinearDML,0.29207363884038984
89,Leaky CausalForestDML,0.018291424255934496
89,Post-treatment control,0.2821305409727551
89,Treat none,0.0
89,Treat all,0.2209562097514381
90,Clean DRLearner,0.2870703560488287
90,Too-simple LinearDML,0.29806408474857093
90,Leaky CausalForestDML,0.020072458036699645
90,Post-treatment control,0.28698820626628924
90,Treat none,0.0
90,Treat all,0.21478765235562128
91,Clean DRLearner,0.2762983555188108
91,Too-simple LinearDML,0.2847290008607939
91,Leaky CausalForestDML,0.016311731475046585
91,Post-treatment control,0.2713584602062139
91,Treat none,0.0
91,Treat all,0.19885468895523623
92,Clean DRLearner,0.2833352167314757
92,Too-simple LinearDML,0.2943274772699512
92,Leaky CausalForestDML,0.026086602388621975
92,Post-treatment control,0.2826472192200163
92,Treat none,0.0
92,Treat all,0.21424610578952108
93,Clean DRLearner,0.2925442151559985
93,Too-simple LinearDML,0.30350342787090717
93,Leaky CausalForestDML,0.019975965451354643
93,Post-treatment control,0.2913357325675863
93,Treat none,0.0
93,Treat all,0.2299295475852398
94,Clean DRLearner,0.29328938365070556
94,Too-simple LinearDML,0.30076097267161256
94,Leaky CausalForestDML,0.024494383323168983
94,Post-treatment control,0.2916498922673971
94,Treat none,0.0
94,Treat all,0.2222253352617299
95,Clean DRLearner,0.2877241459262955
95,Too-simple LinearDML,0.29648939760948134
95,Leaky CausalForestDML,0.02051612520378356
95,Post-treatment control,0.28696840307321164
95,Treat none,0.0
95,Treat all,0.22061693405773655
96,Clean DRLearner,0.30154425430169274
96,Too-simple LinearDML,0.3112890726600701
96,Leaky CausalForestDML,0.0204595211278921
96,Post-treatment control,0.30424822072717833
96,Treat none,0.0
96,Treat all,0.2360385896656769
97,Clean DRLearner,0.2799699862498412
97,Too-simple LinearDML,0.29267168803607163
97,Leaky CausalForestDML,0.02361180699554217
97,Post-treatment control,0.2813953191704803
97,Treat none,0.0
97,Treat all,0.21723552776205787
98,Clean DRLearner,0.26858846818833143
98,Too-simple LinearDML,0.28116340343161383
98,Leaky CausalForestDML,0.019404731634914116
98,Post-treatment control,0.26879271436473856
98,Treat none,0.0
98,Treat all,0.1944730456129188
99,Clean DRLearner,0.27924100052160666
99,Too-simple LinearDML,0.29007837903823425
99,Leaky CausalForestDML,0.021623178015327715
99,Post-treatment control,0.2795830721769239
99,Treat none,0.0
99,Treat all,0.21043217563243038
100,Clean DRLearner,0.2882736791841759
100,Too-simple LinearDML,0.2997959662883907
100,Leaky CausalForestDML,0.01953817595316466
100,Post-treatment control,0.28983475958587446
100,Treat none,0.0
100,Treat all,0.2165370418285398
101,Clean DRLearner,0.2740435964014838
101,Too-simple LinearDML,0.28444778706718404
101,Leaky CausalForestDML,0.01399254058141833
101,Post-treatment control,0.2745916915947243
101,Treat none,0.0
101,Treat all,0.20498016593326102
102,Clean DRLearner,0.2665902076922773
102,Too-simple LinearDML,0.2747411740427711
102,Leaky CausalForestDML,0.019304799703337202
102,Post-treatment control,0.26125623967000383
102,Treat none,0.0
102,Treat all,0.19408008913525052
103,Clean DRLearner,0.27276627257392677
103,Too-simple LinearDML,0.28194495780232054
103,Leaky CausalForestDML,0.016843732513041287
103,Post-treatment control,0.26998765490509724
103,Treat none,0.0
103,Treat all,0.20298153084343493
104,Clean DRLearner,0.2802067302102852
104,Too-simple LinearDML,0.2870079626400081
104,Leaky CausalForestDML,0.023232850136512443
104,Post-treatment control,0.2728611505580359
104,Treat none,0.0
104,Treat all,0.20872898867316628
105,Clean DRLearner,0.2852428426665069
105,Too-simple LinearDML,0.2975288467919278
105,Leaky CausalForestDML,0.013561222179344745
105,Post-treatment control,0.2890949715203217
105,Treat none,0.0
105,Treat all,0.2255784233853116
106,Clean DRLearner,0.279720719760868
106,Too-simple LinearDML,0.2880315798513856
106,Leaky CausalForestDML,0.019249600251082636
106,Post-treatment control,0.27710232541009616
106,Treat none,0.0
106,Treat all,0.21016192213603233
107,Clean DRLearner,0.2834413465554361
107,Too-simple LinearDML,0.29182444367321225
107,Leaky CausalForestDML,0.022775130767488314
107,Post-treatment control,0.28203299856455327
107,Treat none,0.0
107,Treat all,0.2122052286186602
108,Clean DRLearner,0.2743920180902586
108,Too-simple LinearDML,0.2835875868225987
108,Leaky CausalForestDML,0.01883530277108673
108,Post-treatment control,0.2764529635702909
108,Treat none,0.0
108,Treat all,0.2003387208671311
109,Clean DRLearner,0.28664008721959233
109,Too-simple LinearDML,0.29432249981644587
109,Leaky CausalForestDML,0.020256943186588876
109,Post-treatment control,0.28552257045606255
109,Treat none,0.0
109,Treat all,0.2203258862180736
110,Clean DRLearner,0.28472962054215106
110,Too-simple LinearDML,0.2950886433136817
110,Leaky CausalForestDML,0.017399277593194467
110,Post-treatment control,0.28213898513635466
110,Treat none,0.0
110,Treat all,0.20935062970469895
111,Clean DRLearner,0.28908020450223165
111,Too-simple LinearDML,0.30077596613437885
111,Leaky CausalForestDML,0.02113444457970166
111,Post-treatment control,0.29098325509299483
111,Treat none,0.0
111,Treat all,0.22690894139807355
112,Clean DRLearner,0.27475495901549324
112,Too-simple LinearDML,0.28256556477408457
112,Leaky CausalForestDML,0.014160246460405913
112,Post-treatment control,0.27072262208219755
112,Treat none,0.0
112,Treat all,0.20142565859504705
113,Clean DRLearner,0.28714526904047843
113,Too-simple LinearDML,0.2964017229532351
113,Leaky CausalForestDML,0.01460754393459899
113,Post-treatment control,0.2829664498115276
113,Treat none,0.0
113,Treat all,0.22100182178868205
114,Clean DRLearner,0.2756379914553199
114,Too-simple LinearDML,0.28604958438548944
114,Leaky CausalForestDML,0.01814310581280306
114,Post-treatment control,0.271398146874905
114,Treat none,0.0
114,Treat all,0.19248221309643157
115,Clean DRLearner,0.2946647602709213
115,Too-simple LinearDML,0.3060391527975414
115,Leaky CausalForestDML,0.025045583710900893
115,Post-treatment control,0.2954221625013525
115,Treat none,0.0
115,Treat all,0.2276361720470612
116,Clean DRLearner,0.2830326286626062
116,Too-simple LinearDML,0.2959141242219101
116,Leaky CausalForestDML,0.023661577933974255
116,Post-treatment control,0.2845712560659635
116,Treat none,0.0
116,Treat all,0.20983980056752738
117,Clean DRLearner,0.275978075876892
117,Too-simple LinearDML,0.2872191846770339
117,Leaky CausalForestDML,0.01828397682561516
117,Post-treatment control,0.2774567657165311
117,Treat none,0.0
117,Treat all,0.20368702183075887
118,Clean DRLearner,0.2911080887995445
118,Too-simple LinearDML,0.3021135091349689
118,Leaky CausalForestDML,0.022578710797997576
118,Post-treatment control,0.2912042050410119
118,Treat none,0.0
118,Treat all,0.22307108290287225
119,Clean DRLearner,0.2844246653627954
119,Too-simple LinearDML,0.29290698945412946
119,Leaky CausalForestDML,0.018930349004010534
119,Post-treatment control,0.2824454609634006
119,Treat none,0.0
119,Treat all,0.21869047210028641
120,Clean DRLearner,0.29241714663460217
120,Too-simple LinearDML,0.30105741481758885
120,Leaky CausalForestDML,0.018296192476623604
120,Post-treatment control,0.28918587531502815
120,Treat none,0.0
120,Treat all,0.22346566685967922
121,Clean DRLearner,0.2620857214015175
121,Too-simple LinearDML,0.27585473825827783
121,Leaky CausalForestDML,0.013767893850909905
121,Post-treatment control,0.26511840716137464
121,Treat none,0.0
121,Treat all,0.1997841968639308
122,Clean DRLearner,0.27735452252891396
122,Too-simple LinearDML,0.28698469664923754
122,Leaky CausalForestDML,0.016443194054610744
122,Post-treatment control,0.27966120502335656
122,Treat none,0.0
122,Treat all,0.21225541662994876
123,Clean DRLearner,0.29074793968600154
123,Too-simple LinearDML,0.29858391335357837
123,Leaky CausalForestDML,0.02192316453012174
123,Post-treatment control,0.2883164695500799
123,Treat none,0.0
123,Treat all,0.21371667461325305
124,Clean DRLearner,0.2926653844210512
124,Too-simple LinearDML,0.30493093987510544
124,Leaky CausalForestDML,0.016755795838868878
124,Post-treatment control,0.29360755102462527
124,Treat none,0.0
124,Treat all,0.23077606616992422
125,Clean DRLearner,0.27901820887758716
125,Too-simple LinearDML,0.2877776858340942
125,Leaky CausalForestDML,0.020865237555393722
125,Post-treatment control,0.278627981763408
125,Treat none,0.0
