draw,policy,true_net_value_per_user
10,DRLearner: effect > cost,0.1675102866849912
11,Treat none,0.0
11,Treat all,0.00548579711323255
11,LinearDML: effect > cost,0.16515391754487238
11,CausalForestDML: effect > cost,0.15550717353196725
11,DRLearner: effect > cost,0.16170041065185353
12,Treat none,0.0
12,Treat all,0.012343768698139234
12,LinearDML: effect > cost,0.1745622934397747
12,CausalForestDML: effect > cost,0.15539917347146928
12,DRLearner: effect > cost,0.16742306299278417
13,Treat none,0.0
13,Treat all,0.01603033686100358
13,LinearDML: effect > cost,0.17509247929283192
13,CausalForestDML: effect > cost,0.16077100287864723
13,DRLearner: effect > cost,0.1687984420271697
14,Treat none,0.0
14,Treat all,0.022940349681401753
14,LinearDML: effect > cost,0.182011488543368
14,CausalForestDML: effect > cost,0.16803137151305497
14,DRLearner: effect > cost,0.1786080579954145
15,Treat none,0.0
15,Treat all,0.009190713710367346
15,LinearDML: effect > cost,0.1825191326041169
15,CausalForestDML: effect > cost,0.16370895548915218
15,DRLearner: effect > cost,0.17600613966916326
16,Treat none,0.0
16,Treat all,0.004819413983536774
16,LinearDML: effect > cost,0.18008569889738385
16,CausalForestDML: effect > cost,0.16447552520553954
16,DRLearner: effect > cost,0.17855393971833677
17,Treat none,0.0
17,Treat all,0.019798631226103862
17,LinearDML: effect > cost,0.18403808391356172
17,CausalForestDML: effect > cost,0.17361400417322043
17,DRLearner: effect > cost,0.17902475698271564
18,Treat none,0.0
18,Treat all,-0.013104973933009838
18,LinearDML: effect > cost,0.16753347268062727
18,CausalForestDML: effect > cost,0.1477543299838513
18,DRLearner: effect > cost,0.16334754774625398
19,Treat none,0.0
19,Treat all,0.0190598114509401
19,LinearDML: effect > cost,0.1794179642604587
19,CausalForestDML: effect > cost,0.16465475699107684
19,DRLearner: effect > cost,0.16949924244184716
20,Treat none,0.0
20,Treat all,-0.009188013445589192
20,LinearDML: effect > cost,0.1652688658720011
20,CausalForestDML: effect > cost,0.1520827094122425
20,DRLearner: effect > cost,0.1607557741954601
21,Treat none,0.0
21,Treat all,-0.0020056913039370873
21,LinearDML: effect > cost,0.16654464634721744
21,CausalForestDML: effect > cost,0.15018259557390554
21,DRLearner: effect > cost,0.1592673732819966
22,Treat none,0.0
22,Treat all,0.005300511842745311
22,LinearDML: effect > cost,0.17060578425801554
22,CausalForestDML: effect > cost,0.1529204527330108
22,DRLearner: effect > cost,0.1624057475393725
23,Treat none,0.0
23,Treat all,-0.00016549829531604745
23,LinearDML: effect > cost,0.1757596293008223
23,CausalForestDML: effect > cost,0.15839441964296638
23,DRLearner: effect > cost,0.16741989145357208
24,Treat none,0.0
24,Treat all,-0.0021777595106968117
24,LinearDML: effect > cost,0.16917363155725415
24,CausalForestDML: effect > cost,0.152430119016072
24,DRLearner: effect > cost,0.1630245480661743
25,Treat none,0.0
25,Treat all,0.012608210791035954
25,LinearDML: effect > cost,0.18250138461549145
25,CausalForestDML: effect > cost,0.16303086084516724
25,DRLearner: effect > cost,0.17679781924865168
26,Treat none,0.0
26,Treat all,-0.007548466685008591
26,LinearDML: effect > cost,0.1689654962963739
26,CausalForestDML: effect > cost,0.1435840090248031
26,DRLearner: effect > cost,0.15523602495670902
27,Treat none,0.0
27,Treat all,0.011458610607444188
27,LinearDML: effect > cost,0.17495699059268838
27,CausalForestDML: effect > cost,0.15933361299621368
27,DRLearner: effect > cost,0.17102480950335974
28,Treat none,0.0
28,Treat all,6.12882117631572e-05
28,LinearDML: effect > cost,0.1740139678212215
28,CausalForestDML: effect > cost,0.15527586036558294
28,DRLearner: effect > cost,0.16450744446189508
29,Treat none,0.0
29,Treat all,-0.0010717687410088232
29,LinearDML: effect > cost,0.1715638644204759
29,CausalForestDML: effect > cost,0.15537695055269457
29,DRLearner: effect > cost,0.16436988155646992
30,Treat none,0.0
30,Treat all,0.000960910220947989
30,LinearDML: effect > cost,0.17857536186556988
30,CausalForestDML: effect > cost,0.16055275533145288
30,DRLearner: effect > cost,0.1707352061712509
31,Treat none,0.0
31,Treat all,-0.006948763169436083
31,LinearDML: effect > cost,0.16726247711939432
31,CausalForestDML: effect > cost,0.14607390923527463
31,DRLearner: effect > cost,0.1595611063881296
32,Treat none,0.0
32,Treat all,0.010750939049851136
32,LinearDML: effect > cost,0.1793025899126474
32,CausalForestDML: effect > cost,0.16311070792013266
32,DRLearner: effect > cost,0.1730464187144574
33,Treat none,0.0
33,Treat all,-0.010924842267289186
33,LinearDML: effect > cost,0.15556008807566327
33,CausalForestDML: effect > cost,0.1407127319676746
33,DRLearner: effect > cost,0.14894485534427299
34,Treat none,0.0
34,Treat all,-0.008929183548267976
34,LinearDML: effect > cost,0.17035112313762416
34,CausalForestDML: effect > cost,0.15334882686635318
34,DRLearner: effect > cost,0.1619539546303691
35,Treat none,0.0
35,Treat all,0.0077303351714335935
35,LinearDML: effect > cost,0.16962717942540095
35,CausalForestDML: effect > cost,0.15971333498406837
35,DRLearner: effect > cost,0.16264905703258606
36,Treat none,0.0
36,Treat all,-0.011746499331110216
36,LinearDML: effect > cost,0.16451415376737694
36,CausalForestDML: effect > cost,0.1488541811732012
36,DRLearner: effect > cost,0.1582430025258479
37,Treat none,0.0
37,Treat all,-0.009489476436133792
37,LinearDML: effect > cost,0.16658919198354355
37,CausalForestDML: effect > cost,0.14959774694584288
37,DRLearner: effect > cost,0.15553298295680026
38,Treat none,0.0
38,Treat all,0.013183365181994791
38,LinearDML: effect > cost,0.17642873372105727
38,CausalForestDML: effect > cost,0.16131149268704492
38,DRLearner: effect > cost,0.17538219816631737
39,Treat none,0.0
39,Treat all,0.011089408458574593
39,LinearDML: effect > cost,0.17315328889351214
39,CausalForestDML: effect > cost,0.1526230156618029
39,DRLearner: effect > cost,0.16070436167549015
40,Treat none,0.0
40,Treat all,-0.003674776587951718
40,LinearDML: effect > cost,0.16200318297107638
40,CausalForestDML: effect > cost,0.1396402804691151
40,DRLearner: effect > cost,0.15221113701422004
41,Treat none,0.0
41,Treat all,-0.008539680921504528
41,LinearDML: effect > cost,0.15989701373437692
41,CausalForestDML: effect > cost,0.14162513077569924
41,DRLearner: effect > cost,0.15781063123681702
42,Treat none,0.0
42,Treat all,0.009466316131304602
42,LinearDML: effect > cost,0.17479432082511082
42,CausalForestDML: effect > cost,0.1553372065790854
42,DRLearner: effect > cost,0.1668849287684634
43,Treat none,0.0
43,Treat all,0.020617300320755594
43,LinearDML: effect > cost,0.16837171181932628
43,CausalForestDML: effect > cost,0.15015395451816044
43,DRLearner: effect > cost,0.1608668769370488
44,Treat none,0.0
44,Treat all,0.009773603403800976
44,LinearDML: effect > cost,0.17214648647633218
44,CausalForestDML: effect > cost,0.15917843915527732
44,DRLearner: effect > cost,0.16856651473597453
45,Treat none,0.0
45,Treat all,0.006297942188323411
45,LinearDML: effect > cost,0.17848825444446179
45,CausalForestDML: effect > cost,0.1613015197620228
45,DRLearner: effect > cost,0.17119509867750538
46,Treat none,0.0
46,Treat all,-0.0043885138619329574
46,LinearDML: effect > cost,0.16337261256370794
46,CausalForestDML: effect > cost,0.14579199828155986
46,DRLearner: effect > cost,0.15811888879649363
47,Treat none,0.0
47,Treat all,-0.005783019877183794
47,LinearDML: effect > cost,0.16746633675552514
47,CausalForestDML: effect > cost,0.15249716550373668
47,DRLearner: effect > cost,0.16003340720761253
48,Treat none,0.0
48,Treat all,-0.00813259712867047
48,LinearDML: effect > cost,0.16160464528776866
48,CausalForestDML: effect > cost,0.14707479903351853
48,DRLearner: effect > cost,0.1553232101926044
49,Treat none,0.0
49,Treat all,-0.01570782420962179
49,LinearDML: effect > cost,0.16255827554936117
49,CausalForestDML: effect > cost,0.1452289403472763
49,DRLearner: effect > cost,0.15332065472856535
50,Treat none,0.0
50,Treat all,9.437196341383587e-05
50,LinearDML: effect > cost,0.1692567739630061
50,CausalForestDML: effect > cost,0.14828274117679077
50,DRLearner: effect > cost,0.16293956004737006
51,Treat none,0.0
51,Treat all,0.0012126210410947043
51,LinearDML: effect > cost,0.17299317746897072
51,CausalForestDML: effect > cost,0.1565600378242722
51,DRLearner: effect > cost,0.16588637478966603
52,Treat none,0.0
52,Treat all,-0.00525086148451836
52,LinearDML: effect > cost,0.16844557999179538
52,CausalForestDML: effect > cost,0.1510146189493472
52,DRLearner: effect > cost,0.16030849510165546
53,Treat none,0.0
53,Treat all,0.0019564509650553175
53,LinearDML: effect > cost,0.17046056574725085
53,CausalForestDML: effect > cost,0.15596523379732244
53,DRLearner: effect > cost,0.16438471341832364
54,Treat none,0.0
54,Treat all,-0.00493151935898158
54,LinearDML: effect > cost,0.17548764472323822
54,CausalForestDML: effect > cost,0.15915130103819045
54,DRLearner: effect > cost,0.16857529456574824
55,Treat none,0.0
55,Treat all,-0.010860960171339149
55,LinearDML: effect > cost,0.16745011786049682
55,CausalForestDML: effect > cost,0.14964534075505942
55,DRLearner: effect > cost,0.1603498447184397
56,Treat none,0.0
56,Treat all,0.003450869860576782
56,LinearDML: effect > cost,0.17536719661457462
56,CausalForestDML: effect > cost,0.15341147237022143
56,DRLearner: effect > cost,0.16627148052060203
57,Treat none,0.0
57,Treat all,-0.010886508120387146
57,LinearDML: effect > cost,0.16638591984154125
57,CausalForestDML: effect > cost,0.15028132755548643
57,DRLearner: effect > cost,0.15759161933046034
58,Treat none,0.0
58,Treat all,0.0009880136975598042
58,LinearDML: effect > cost,0.16480400149812416
58,CausalForestDML: effect > cost,0.15140325115477837
58,DRLearner: effect > cost,0.155634844280194
59,Treat none,0.0
59,Treat all,-0.004494167252378196
59,LinearDML: effect > cost,0.1627022073869101
59,CausalForestDML: effect > cost,0.14517294464442465
59,DRLearner: effect > cost,0.15715570282468042
60,Treat none,0.0
60,Treat all,0.011460803465803793
60,LinearDML: effect > cost,0.1725639051311694
60,CausalForestDML: effect > cost,0.15770874843724644
60,DRLearner: effect > cost,0.16561834418969779
61,Treat none,0.0
61,Treat all,-0.007390832303514444
61,LinearDML: effect > cost,0.16445304353521448
61,CausalForestDML: effect > cost,0.15260817915300737
61,DRLearner: effect > cost,0.15961323877755537
62,Treat none,0.0
62,Treat all,-0.009003998688563
62,LinearDML: effect > cost,0.1657633634336353
62,CausalForestDML: effect > cost,0.1431445424872886
62,DRLearner: effect > cost,0.1565467911021117
63,Treat none,0.0
63,Treat all,-0.018912309141529825
63,LinearDML: effect > cost,0.16346979797011996
63,CausalForestDML: effect > cost,0.1432491595234189
63,DRLearner: effect > cost,0.15572573326384648
64,Treat none,0.0
64,Treat all,-0.0015619038331987412
64,LinearDML: effect > cost,0.1669288047984908
64,CausalForestDML: effect > cost,0.1531504005095654
64,DRLearner: effect > cost,0.15968669106890082
65,Treat none,0.0
65,Treat all,0.0070695675103501976
65,LinearDML: effect > cost,0.17586942128271885
65,CausalForestDML: effect > cost,0.15671223058979583
65,DRLearner: effect > cost,0.1669032974983693
66,Treat none,0.0
66,Treat all,-0.019755156444194722
66,LinearDML: effect > cost,0.16393033844036636
66,CausalForestDML: effect > cost,0.1488651184514402
66,DRLearner: effect > cost,0.1584774643978422
67,Treat none,0.0
67,Treat all,0.005013292765018564
67,LinearDML: effect > cost,0.17784084025492905
67,CausalForestDML: effect > cost,0.15967729725362964
67,DRLearner: effect > cost,0.1700664373856169
68,Treat none,0.0
68,Treat all,0.008877166271597028
68,LinearDML: effect > cost,0.1746079156121927
68,CausalForestDML: effect > cost,0.16308131089320996
68,DRLearner: effect > cost,0.16949631927197872
69,Treat none,0.0
69,Treat all,0.0069886375734775465
69,LinearDML: effect > cost,0.16413895932513814
69,CausalForestDML: effect > cost,0.14309159865229645
69,DRLearner: effect > cost,0.15557634884239255
70,Treat none,0.0
70,Treat all,-0.0076119497615837455
70,LinearDML: effect > cost,0.16377949776154715
70,CausalForestDML: effect > cost,0.15052420231716868
70,DRLearner: effect > cost,0.15905967674766255
71,Treat none,0.0
71,Treat all,0.0007443218018254088
71,LinearDML: effect > cost,0.1690054479340781
71,CausalForestDML: effect > cost,0.15425187601756699
71,DRLearner: effect > cost,0.16582187071873597
72,Treat none,0.0
72,Treat all,-0.0029923513082361817
72,LinearDML: effect > cost,0.16262413182744087
72,CausalForestDML: effect > cost,0.14937343763842723
72,DRLearner: effect > cost,0.1589785988923465
73,Treat none,0.0
73,Treat all,0.009365099287827548
73,LinearDML: effect > cost,0.17611965462229645
73,CausalForestDML: effect > cost,0.1565635255733283
73,DRLearner: effect > cost,0.16820589229510285
74,Treat none,0.0
74,Treat all,-0.0037720150157932036
74,LinearDML: effect > cost,0.17550910747093174
74,CausalForestDML: effect > cost,0.15388718414288208
74,DRLearner: effect > cost,0.16405498794399537
75,Treat none,0.0
75,Treat all,0.007228015755189412
75,LinearDML: effect > cost,0.17909094456088023
75,CausalForestDML: effect > cost,0.16301165793825076
75,DRLearner: effect > cost,0.17330257688074957
76,Treat none,0.0
76,Treat all,0.0016305693868996273
76,LinearDML: effect > cost,0.16774849726338917
76,CausalForestDML: effect > cost,0.1485485891192281
76,DRLearner: effect > cost,0.16091281805496954
77,Treat none,0.0
77,Treat all,0.010806034185241504
77,LinearDML: effect > cost,0.17757945560237487
77,CausalForestDML: effect > cost,0.15580075920956427
77,DRLearner: effect > cost,0.16913520175526484
78,Treat none,0.0
78,Treat all,-0.018961581540191855
78,LinearDML: effect > cost,0.1670486386304384
78,CausalForestDML: effect > cost,0.14743855314323534
78,DRLearner: effect > cost,0.1655887560552256
79,Treat none,0.0
79,Treat all,0.005047929679977536
79,LinearDML: effect > cost,0.18066368019182108
79,CausalForestDML: effect > cost,0.16587528422128495
79,DRLearner: effect > cost,0.17259871500956966
80,Treat none,0.0
80,Treat all,0.010662910374963211
80,LinearDML: effect > cost,0.17085923638738817
80,CausalForestDML: effect > cost,0.15470367274014069
80,DRLearner: effect > cost,0.16614176811323506
81,Treat none,0.0
81,Treat all,0.013174609958968922
81,LinearDML: effect > cost,0.17632643837706438
81,CausalForestDML: effect > cost,0.1595605467212048
81,DRLearner: effect > cost,0.16878776079376415
82,Treat none,0.0
82,Treat all,-0.014008612050921002
82,LinearDML: effect > cost,0.16733977745378645
82,CausalForestDML: effect > cost,0.1483789509568585
82,DRLearner: effect > cost,0.1587367011277358
83,Treat none,0.0
83,Treat all,-0.022072561819060196
83,LinearDML: effect > cost,0.16031233913778675
83,CausalForestDML: effect > cost,0.13996778109644747
83,DRLearner: effect > cost,0.15443177212077683
84,Treat none,0.0
84,Treat all,0.022193776860053072
84,LinearDML: effect > cost,0.1771116851588291
84,CausalForestDML: effect > cost,0.1583394976253033
84,DRLearner: effect > cost,0.1672425204882716
85,Treat none,0.0
85,Treat all,-0.002081815252133722
85,LinearDML: effect > cost,0.1718962124396953
85,CausalForestDML: effect > cost,0.15490466563003655
85,DRLearner: effect > cost,0.16277244295319215
86,Treat none,0.0
86,Treat all,0.013700711404041523
86,LinearDML: effect > cost,0.1830844725799011
86,CausalForestDML: effect > cost,0.1661107000699984
86,DRLearner: effect > cost,0.1751384536293268
87,Treat none,0.0
87,Treat all,-0.016022590847138182
87,LinearDML: effect > cost,0.16321377343913093
87,CausalForestDML: effect > cost,0.14053086775760706
87,DRLearner: effect > cost,0.1541772246433173
88,Treat none,0.0
88,Treat all,-0.008380119592400473
88,LinearDML: effect > cost,0.1694166138230944
88,CausalForestDML: effect > cost,0.1512021841111787
88,DRLearner: effect > cost,0.1594094813554174
89,Treat none,0.0
89,Treat all,0.013073573129443176
89,LinearDML: effect > cost,0.1726811509262872
89,CausalForestDML: effect > cost,0.15300768442936083
89,DRLearner: effect > cost,0.16415704711420073
90,Treat none,0.0
90,Treat all,-0.0032183800368312987
90,LinearDML: effect > cost,0.17509049933157625
90,CausalForestDML: effect > cost,0.154592333737818
90,DRLearner: effect > cost,0.16287905940880384
91,Treat none,0.0
91,Treat all,-0.014957077455287788
91,LinearDML: effect > cost,0.17264316779448208
91,CausalForestDML: effect > cost,0.15924476333268103
91,DRLearner: effect > cost,0.168919066323047
92,Treat none,0.0
92,Treat all,-0.012662891134764626
92,LinearDML: effect > cost,0.16090461199360048
92,CausalForestDML: effect > cost,0.1466640074004457
92,DRLearner: effect > cost,0.15836320740688864
93,Treat none,0.0
93,Treat all,0.020905703368761547
93,LinearDML: effect > cost,0.18212579642432405
93,CausalForestDML: effect > cost,0.16476225937593825
93,DRLearner: effect > cost,0.17221095059581737
94,Treat none,0.0
94,Treat all,0.004495788250329812
94,LinearDML: effect > cost,0.16861568998919663
94,CausalForestDML: effect > cost,0.14605254319417116
94,DRLearner: effect > cost,0.16068433326784312
95,Treat none,0.0
95,Treat all,0.017901674101952588
95,LinearDML: effect > cost,0.1782442150330837
95,CausalForestDML: effect > cost,0.16474095764603328
95,DRLearner: effect > cost,0.17037079037281194
96,Treat none,0.0
96,Treat all,0.003665144009930504
96,LinearDML: effect > cost,0.1813944161558835
96,CausalForestDML: effect > cost,0.1639788738785942
96,DRLearner: effect > cost,0.17178315399389849
97,Treat none,0.0
97,Treat all,-0.007858269545994778
97,LinearDML: effect > cost,0.1670454066737563
97,CausalForestDML: effect > cost,0.1497196520361747
97,DRLearner: effect > cost,0.1596344699854644
98,Treat none,0.0
98,Treat all,-0.009049955048368186
98,LinearDML: effect > cost,0.15933249476916506
98,CausalForestDML: effect > cost,0.14386117482879607
98,DRLearner: effect > cost,0.1534826396354664
99,Treat none,0.0
99,Treat all,0.001795334025846023
99,LinearDML: effect > cost,0.16518476583119687
99,CausalForestDML: effect > cost,0.15126829075108672
99,DRLearner: effect > cost,0.16123698119601731
100,Treat none,0.0
100,Treat all,0.0013031537915262192
100,LinearDML: effect > cost,0.16616553569519246
100,CausalForestDML: effect > cost,0.14692817420436532
100,DRLearner: effect > cost,0.1568435874844227
101,Treat none,0.0
101,Treat all,0.019126851284811827
101,LinearDML: effect > cost,0.18496286465809733
101,CausalForestDML: effect > cost,0.1713594729868985
101,DRLearner: effect > cost,0.18135507620242405
102,Treat none,0.0
102,Treat all,-0.0010608699661594301
102,LinearDML: effect > cost,0.16896557937161671
102,CausalForestDML: effect > cost,0.15338359206790594
102,DRLearner: effect > cost,0.16485804703439888
103,Treat none,0.0
103,Treat all,0.018908019305724673
103,LinearDML: effect > cost,0.17804648343156215
103,CausalForestDML: effect > cost,0.1633153988778133
103,DRLearner: effect > cost,0.17345711576163164
104,Treat none,0.0
104,Treat all,-0.003184285246572082
104,LinearDML: effect > cost,0.16381469362167297
104,CausalForestDML: effect > cost,0.15128715838704465
104,DRLearner: effect > cost,0.16044281016968723
105,Treat none,0.0
105,Treat all,0.013999087083998682
105,LinearDML: effect > cost,0.17303752359482538
105,CausalForestDML: effect > cost,0.1623072842718573
105,DRLearner: effect > cost,0.16950570366983095
106,Treat none,0.0
106,Treat all,-0.01122994897725939
106,LinearDML: effect > cost,0.16305660088679988
106,CausalForestDML: effect > cost,0.15056069684328233
106,DRLearner: effect > cost,0.15678286603404945
107,Treat none,0.0
107,Treat all,-0.005352537981881533
107,LinearDML: effect > cost,0.16660703317817085
107,CausalForestDML: effect > cost,0.1540522435604581
107,DRLearner: effect > cost,0.1627464179069634
108,Treat none,0.0
108,Treat all,0.0006880344407793001
108,LinearDML: effect > cost,0.1617075134951417
108,CausalForestDML: effect > cost,0.14317237306271635
108,DRLearner: effect > cost,0.15676400319432765
109,Treat none,0.0
109,Treat all,-0.0059972173182126325
109,LinearDML: effect > cost,0.16907867654497916
109,CausalForestDML: effect > cost,0.14755287207932294
109,DRLearner: effect > cost,0.16109573496785495
110,Treat none,0.0
110,Treat all,0.0029653013382585415
110,LinearDML: effect > cost,0.17054452166413436
110,CausalForestDML: effect > cost,0.1496621270021837
110,DRLearner: effect > cost,0.16574542653768123
111,Treat none,0.0
111,Treat all,0.010286918013040752
111,LinearDML: effect > cost,0.17018863885004748
111,CausalForestDML: effect > cost,0.15276448061922027
111,DRLearner: effect > cost,0.1647500000101127
112,Treat none,0.0
112,Treat all,-0.002657968181262528
112,LinearDML: effect > cost,0.16283124102664778
112,CausalForestDML: effect > cost,0.15099264645564306
112,DRLearner: effect > cost,0.16099537208340972
113,Treat none,0.0
113,Treat all,0.00807995991676156
113,LinearDML: effect > cost,0.1800970431648962
113,CausalForestDML: effect > cost,0.16473369054484052
113,DRLearner: effect > cost,0.17214263469750257
114,Treat none,0.0
114,Treat all,0.0006678486873614513
114,LinearDML: effect > cost,0.17348619990069417
114,CausalForestDML: effect > cost,0.15485553560233237
114,DRLearner: effect > cost,0.16650321401148865
115,Treat none,0.0
115,Treat all,-0.020192325291533926
115,LinearDML: effect > cost,0.16205221642060988
115,CausalForestDML: effect > cost,0.14776109563511763
115,DRLearner: effect > cost,0.16010289847781875
116,Treat none,0.0
116,Treat all,0.004260334720397443
116,LinearDML: effect > cost,0.17448041774047346
116,CausalForestDML: effect > cost,0.15683806464150762
116,DRLearner: effect > cost,0.16767369760809578
117,Treat none,0.0
117,Treat all,-0.024416615756016686
117,LinearDML: effect > cost,0.15339733187087004
117,CausalForestDML: effect > cost,0.13302598996128182
117,DRLearner: effect > cost,0.14769583950173784
118,Treat none,0.0
118,Treat all,-0.0111109130526576
118,LinearDML: effect > cost,0.16337883733828562
118,CausalForestDML: effect > cost,0.1442642238842929
118,DRLearner: effect > cost,0.1543477074819706
119,Treat none,0.0
119,Treat all,-0.009346350255252697
119,LinearDML: effect > cost,0.1617894907586321
119,CausalForestDML: effect > cost,0.14374026449380908
119,DRLearner: effect > cost,0.1568071224727901
120,Treat none,0.0
120,Treat all,-0.019699844223791663
120,LinearDML: effect > cost,0.16209223526789998
120,CausalForestDML: effect > cost,0.1477253391028494
120,DRLearner: effect > cost,0.15539380100097067
121,Treat none,0.0
121,Treat all,0.022773418601777225
121,LinearDML: effect > cost,0.18407576648969448
121,CausalForestDML: effect > cost,0.16568200116153292
121,DRLearner: effect > cost,0.1770082002231345
122,Treat none,0.0
122,Treat all,0.00044870385486376024
122,LinearDML: effect > cost,0.16548714510989795
122,CausalForestDML: effect > cost,0.15083474055674886
122,DRLearner: effect > cost,0.160175167723444
123,Treat none,0.0
123,Treat all,-0.001684626046660218
123,LinearDML: effect > cost,0.16692302818546542
123,CausalForestDML: effect > cost,0.15204926657686277
123,DRLearner: effect > cost,0.1592318754086684
124,Treat none,0.0
124,Treat all,0.009524237692236098
124,LinearDML: effect > cost,0.17873787271612165
124,CausalForestDML: effect > cost,0.15852477416953764
124,DRLearner: effect > cost,0.17110834275093847
125,Treat none,0.0
125,Treat all,-0.0008635503320711818
125,LinearDML: effect > cost,0.17438311550130955
125,CausalForestDML: effect > cost,0.1585298077196974
125,DRLearner: effect > cost,0.16867384658967544
126,Treat none,0.0
126,Treat all,0.004692063084954801
126,LinearDML: effect > cost,0.16886510773462154
126,CausalForestDML: effect > cost,0.15294724435207782
126,DRLearner: effect > cost,0.16410824759770776
127,Treat none,0.0
127,Treat all,-0.007385560363751403
127,LinearDML: effect > cost,0.1722188983032517
127,CausalForestDML: effect > cost,0.15864852646351915
127,DRLearner: effect > cost,0.17019685145945018
128,Treat none,0.0
128,Treat all,0.004722793532820883
128,LinearDML: effect > cost,0.1720654184786002
128,CausalForestDML: effect > cost,0.15190095760056377
128,DRLearner: effect > cost,0.16341015482554772
129,Treat none,0.0
129,Treat all,0.013393914151881715
129,LinearDML: effect > cost,0.1758175269888591
129,CausalForestDML: effect > cost,0.15746826846848294
129,DRLearner: effect > cost,0.16393759134298666
130,Treat none,0.0
130,Treat all,0.010500119479875112
130,LinearDML: effect > cost,0.17364485697642182
130,CausalForestDML: effect > cost,0.15924740005355761
130,DRLearner: effect > cost,0.1688579954386659
131,Treat none,0.0
131,Treat all,0.007627453378446218
131,LinearDML: effect > cost,0.1802298206151331
131,CausalForestDML: effect > cost,0.16275216274576576
131,DRLearner: effect > cost,0.17273504904012285
132,Treat none,0.0
132,Treat all,0.0060716074045345115
132,LinearDML: effect > cost,0.17851028238893576
132,CausalForestDML: effect > cost,0.1544993219314026
132,DRLearner: effect > cost,0.1698103293179754
133,Treat none,0.0
133,Treat all,0.00864189737646098
133,LinearDML: effect > cost,0.17947698244010699
133,CausalForestDML: effect > cost,0.16303402364949493
133,DRLearner: effect > cost,0.17320659660671026
134,Treat none,0.0
134,Treat all,0.0134261303657693
134,LinearDML: effect > cost,0.1659318391083235
134,CausalForestDML: effect > cost,0.1488983651153739
134,DRLearner: effect > cost,0.16056309177505304
135,Treat none,0.0
135,Treat all,0.002118161103662175
135,LinearDML: effect > cost,0.16707520423782274
135,CausalForestDML: effect > cost,0.1544315005709207
135,DRLearner: effect > cost,0.16143636396755043
136,Treat none,0.0
136,Treat all,-0.008439528565286283
136,LinearDML: effect > cost,0.1666395673555653
136,CausalForestDML: effect > cost,0.14860206975656476
136,DRLearner: effect > cost,0.15724074013132588
137,Treat none,0.0
137,Treat all,-0.011445081156253091
137,LinearDML: effect > cost,0.1709735623689678
137,CausalForestDML: effect > cost,0.15034341513242355
137,DRLearner: effect > cost,0.163575306392026
138,Treat none,0.0
138,Treat all,0.018136025560299054
138,LinearDML: effect > cost,0.1845344721716271
138,CausalForestDML: effect > cost,0.17057766149032733
138,DRLearner: effect > cost,0.17996016370641263
139,Treat none,0.0
139,Treat all,-0.006325722650625898
139,LinearDML: effect > cost,0.16887534796465795
139,CausalForestDML: effect > cost,0.1491181914299377
139,DRLearner: effect > cost,0.1634313137445648
140,Treat none,0.0
140,Treat all,-0.0005348904855105686
140,LinearDML: effect > cost,0.17312382110261026
140,CausalForestDML: effect > cost,0.15495878169051266
140,DRLearner: effect > cost,0.16360601486325677
141,Treat none,0.0
141,Treat all,0.00218142655806598
141,LinearDML: effect > cost,0.1719459422930158
